Province,Pipeline Water,Electricity,Pipeline Gas,Bathroom,Kitchen
EAZ,100,100,100,100,100
WAZ,100,100,99.67,100,100
ARD,100,100,100,99.82,98.49
ESF,99.83,100,100,99.89,99.55
ALB,100,100,100,100,99.72
ILM,100,100,97.81,99.61,99.44
BSH,100,100,71.94,100,99.58
TEH,99.95,100,100,99.63,99.5
CHR,100,100,99.91,99.75,98.46
SKH,100,100,99.15,99.59,99.39
KHR,100,100,99.87,99.82,99.54
NKH,100,100,100,98.88,96.44
KHZ,100,100,93.2,100,100
ZAN,100,100,100,99.91,99.42
SEM,100,100,100,99.72,100
SVB,99.74,100,27.17,94.21,82.63
FRS,99.04,100,98.26,99.38,99.2
GHZ,100,100,100,100,100
Qom,100,100,100,99.68,99.68
KRD,100,100,100,100,99.79
KRN,100,100,84.45,96.94,95.87
KRS,100,100,99.25,100,100
KVB,100,100,100,99.9,99.61
GLS,100,100,100,99.63,99.5
GLN,90.96,100,100,99.75,99.75
LRS,100,100,100,99.55,99.65
MZN,100,100,99.71,99.71,99.09
MRK,100,100,100,98.86,99.67
HRM,100,100,3.64,99.31,96.98
HMD,100,100,100,99.91,99.91
YZD,100,100,99.74,100,100
