Province,Divorece
EAZ,2.497515647
WAZ,2.274455004
ARD,2.590304071
ESF,2.155343293
ALB,3.258960167
ILM,1.622418868
BSH,1.939345334
TEH,2.835063742
CHR,1.593824927
SKH,1.763429238
KHR,3.167186328
NKH,2.694129328
KHZ,2.011879014
ZAN,2.399203633
SEM,2.312574665
SVB,0.694007047
FRS,2.137028902
GHZ,2.572711408
Qom,2.875453245
KRD,2.972065978
KRN,2.02264757
KRS,2.602420652
KVB,1.904232666
GLS,2.396331869
GLN,2.949082978
LRS,2.330914871
MZN,2.999298389
MRK,2.588268424
HRM,1.68491006
HMD,2.182174938
YZD,1.944618491
