Province,NRU,NRR
EAZ,525647,381154
WAZ,467700,401526
ARD,269668,274463
ESF,470099,372290
ALB,532886,555732
ILM,394968,318547
BSH,477675,385084
TEH,499122,481760
CHR,487207,334479
SKH,361186,205595
KHR,336732,183518
NKH,420803,222489
KHZ,448620,342269
ZAN,362640,310024
SEM,346139,309749
SVB,274936,137609
FRS,418175,387017
GHZ,379816,346483
Qom,374534,330135
KRD,315066,230392
KRN,359900,338399
KRS,291446,235465
KVB,464725,346948
GLS,399989,307475
GLN,422861,309937
LRS,369151,245160
MZN,552363,471354
MRK,346119,247362
HRM,289749,160480
HMD,416687,477040
YZD,667196,588080
