Province,ElectionP
EAZ,50.93720297
WAZ,46.74534107
ARD,54.40277992
ESF,48.42795659
ALB,43.64219713
ILM,57.48080808
BSH,46.18622079
TEH,44.28554835
CHR,52.66605691
SKH,57.5502445
KHR,50.17247786
NKH,59.55245154
KHZ,45.34663596
ZAN,53.03384755
SEM,53.31638045
SVB,39.32330632
FRS,49.7839367
GHZ,55.53461538
Qom,43.70822016
KRD,41.65852341
KRN,47.26370459
KRS,53.55190763
KVB,50.56778523
GLS,51.39716168
GLN,61.07596567
LRS,48.1438861
MZN,62.50047393
MRK,54.44688995
HRM,45.91918304
HMD,53.86749717
YZD,50.53543496
