Province,GiniRural,GiniUrban,Pipeline Water R,Electricity R,Pipeline Gas R,Pipeline Water U,Pipeline Gas U,HEU,HER,InfUrban,InfRural,NRU,NRR
EAZ,0.3402,0.3752,99.06,100,96.89,100,100,0.3366,0.1726717,0.431327177,0.431714929,525647,381154
WAZ,0.3248,0.3646,98.92,100,73.97,100,99.67,0.363502678,0.16440947,0.436895198,0.44325483,467700,401526
ARD,0.304,0.3351,95,100,97.9,100,100,0.368584891,0.207696154,0.411054416,0.426695615,269668,274463
ESF,0.2885,0.2907,100,100,97.69,99.83,100,0.470546574,0.269515059,0.406061448,0.437057231,470099,372290
ALB,0.3058,0.3028,98.97,100,88.08,100,100,0.523573731,0.461289944,0.423223182,0.439781451,532886,555732
ILM,0.2851,0.299,99.4,100,91.76,100,97.81,0.426941058,0.245772761,0.459472802,0.482502173,394968,318547
BSH,0.2593,0.2928,99.68,100,56.37,100,71.94,0.381620219,0.221698518,0.413414868,0.42850995,477675,385084
TEH,0.3155,0.3618,100,100,99.26,99.95,100,0.607552193,0.497024635,0.375335953,0.394573104,499122,481760
CHR,0.3145,0.3184,98.66,99.36,86.86,100,99.91,0.344920148,0.170204369,0.431058698,0.425192874,487207,334479
SKH,0.3633,0.3475,95.16,100,85.53,100,99.15,0.30874527,0.166591062,0.42457984,0.420877611,361186,205595
KHR,0.3303,0.3447,99.11,100,90.13,100,99.87,0.459801838,0.191214225,0.39113198,0.420711874,336732,183518
NKH,0.3098,0.3423,100,100,98.96,100,100,0.461605444,0.304784502,0.422543931,0.403031022,420803,222489
KHZ,0.2765,0.3542,99.23,100,76.23,100,93.2,0.355168831,0.190661896,0.391617299,0.415578488,448620,342269
ZAN,0.3326,0.3463,94.9,100,91.91,100,100,0.372198634,0.171743644,0.456647752,0.432935522,362640,310024
SEM,0.326,0.3076,98.91,100,91.42,100,100,0.423436087,0.297163924,0.382591297,0.39200136,346139,309749
SVB,0.3386,0.4929,80.3,99.88,0.93,99.74,27.17,0.366485922,0.358391696,0.365686898,0.368202816,274936,137609
FRS,0.3044,0.3384,99.74,100,80.3,99.04,98.26,0.511923471,0.234874828,0.397865384,0.462713416,418175,387017
GHZ,0.3301,0.2833,99.64,100,98.24,100,100,0.443116695,0.290109401,0.413203968,0.446389189,379816,346483
Qom,0.351,0.3258,96.67,100,96.92,100,100,0.396584229,0.283544051,0.369839937,0.396319936,374534,330135
KRD,0.2851,0.3343,99.52,100,93.59,100,100,0.386606628,0.166014198,0.40745582,0.42443565,315066,230392
KRN,0.2626,0.2729,90.23,99.85,53.23,100,84.45,0.379556425,0.326240441,0.418324342,0.40859226,359900,338399
KRS,0.2793,0.3002,97.94,100,86.14,100,99.25,0.427941674,0.253612533,0.385695041,0.442612911,291446,235465
KVB,0.3399,0.3127,100,100,82.57,100,100,0.26625931,0.20017523,0.465563133,0.515405597,464725,346948
GLS,0.3588,0.4018,99.78,100,95.26,100,100,0.387872882,0.243772163,0.427246816,0.439754326,399989,307475
GLN,0.3054,0.3096,75.06,100,96.57,90.96,100,0.499334231,0.370119622,0.40454687,0.41699882,422861,309937
LRS,0.3189,0.2899,97.17,100,86.11,100,100,0.408249673,0.260034235,0.428238402,0.442429843,369151,245160
MZN,0.3262,0.3391,99.46,100,97.87,100,99.71,0.436714687,0.264623835,0.438550865,0.445628961,552363,471354
MRK,0.3267,0.3048,100,100,98.48,100,100,0.328520279,0.207396827,0.413739397,0.437654423,346119,247362
HRM,0.3187,0.3528,98.29,100,0.83,100,3.64,0.417890468,0.25851277,0.407115752,0.4408798,289749,160480
HMD,0.3487,0.349,98.03,100,99.56,100,100,0.510520028,0.244932489,0.36670981,0.352370696,416687,477040
YZD,0.3304,0.2769,99.33,100,92.45,100,99.74,0.375303419,0.337333905,0.416161479,0.44241754,667196,588080
